monthly_charges,total_charges,contract_type,tenure,tech_support,churn
25.85,1318.35,one year,24,yes,no
28.09,1629.22,one year,67,yes,no
87.4,4981.8,one year,62,no,no
48.79,341.53,month-to-month,38,,yes
68.22,2455.92,,11,no,no
97.04,1455.6,,68,no,no
71.11,1066.65,one year,55,,no
45.33,226.65,two year,25,yes,no
87.96,615.72,month-to-month,10,yes,no
88.81,,month-to-month,4,,yes
100.76,302.28,month-to-month,9,yes,no
,1219.96,month-to-month,68,no,yes
34.67,728.07,one year,23,yes,yes
57.63,1383.12,two year,9,yes,no
69.46,3125.7,,3,yes,no
49.12,2210.4,one year,45,no,no
73.95,3919.35,one year,58,yes,no
50.94,356.58,month-to-month,28,no,no
41.93,41.93,one year,62,yes,yes
97.51,5363.05,month-to-month,56,no,no
68.76,3025.44,two year,45,no,no
80.82,5253.3,two year,24,yes,no
62.82,3266.64,month-to-month,28,yes,no
31.75,539.75,month-to-month,27,no,no
118.48,2014.16,one year,47,yes,no
50.55,1162.65,two year,32,no,yes
53.41,427.28,one year,12,yes,no
63.76,2295.36,two year,49,yes,yes
65.09,1822.52,month-to-month,28,yes,no
,3355.2,month-to-month,28,yes,no
100.32,,one year,24,no,no
115.37,4037.95,month-to-month,7,yes,no
80.1,4565.7,two year,53,no,yes
26.65,559.65,two year,19,yes,no
51.53,2164.26,one year,43,,no
90.51,,month-to-month,19,no,no
102.45,5737.2,two year,30,,no
107.78,5604.56,two year,37,yes,yes
,1800.7,one year,42,no,no
78.1,3280.2,one year,52,yes,no
,944.53,month-to-month,29,no,no
63.28,3480.4,two year,48,yes,no
29.91,987.03,one year,55,yes,no
72.01,3672.51,,24,no,no
73.75,2581.25,two year,22,no,yes
105.7,1902.6,two year,4,no,no
98.07,5884.2,,65,no,no
119.89,1318.79,two year,32,no,yes
52.82,792.3,month-to-month,5,no,yes
49.61,2877.38,two year,32,no,no
91.76,550.56,two year,45,yes,no
112.64,6758.4,one year,71,yes,no
62.89,2704.27,one year,32,yes,yes
67.22,941.08,two year,31,yes,no
65.93,2439.41,month-to-month,53,no,no
60.08,2763.68,two year,51,no,yes
47.03,564.36,month-to-month,30,,yes
65.93,4087.66,,51,yes,no
73.75,4203.75,month-to-month,57,,no
48.11,1250.86,month-to-month,70,yes,no
62.41,3557.37,one year,54,no,no
23.93,1340.08,one year,45,yes,yes
47.48,3323.6,month-to-month,42,no,yes
26.9,1667.8,month-to-month,29,yes,yes
23.34,910.26,two year,52,no,no
106.91,5666.23,month-to-month,68,no,no
117.47,3171.69,one year,30,no,yes
81.36,1789.92,month-to-month,3,no,no
30.34,546.12,two year,62,no,no
41.58,2411.64,month-to-month,67,no,no
33.08,661.6,month-to-month,59,yes,no
38.07,609.12,month-to-month,52,no,no
63.56,1080.52,month-to-month,44,yes,yes
112.77,2819.25,one year,66,no,no
23.19,1182.69,month-to-month,26,,yes
67.42,1550.66,two year,55,yes,no
106.99,4065.62,month-to-month,49,yes,no
52.21,783.15,one year,72,no,no
86.1,344.4,month-to-month,14,no,no
62.25,3672.75,two year,16,no,no
28.81,777.87,two year,20,,yes
118.95,6304.35,month-to-month,40,no,no
110.54,331.62,month-to-month,5,yes,no
86.81,434.05,one year,70,yes,yes
84.1,,two year,31,no,no
51.63,3510.84,,57,yes,yes
65.19,325.95,two year,33,no,yes
31.34,1410.3,month-to-month,54,yes,no
24.01,888.37,two year,13,yes,yes
40.51,1782.44,one year,22,yes,no
79.36,3571.2,month-to-month,63,yes,no
26.85,1825.8,one year,1,no,no
32.14,1864.12,month-to-month,45,yes,no
55.48,3550.72,month-to-month,58,yes,no
,691.18,two year,18,yes,no
95.62,6119.68,one year,31,yes,yes
51.92,2180.64,month-to-month,57,,yes
23.25,325.5,month-to-month,17,yes,no
105.97,5722.38,month-to-month,54,no,no
110.92,1441.96,two year,42,no,yes
35.99,683.81,one year,67,no,no
,2323,one year,45,,no
105.46,1265.52,one year,56,no,no
36.12,722.4,two year,1,no,no
25.62,1255.38,one year,43,no,no
77.74,4120.22,one year,15,no,yes
28.18,1409,month-to-month,56,yes,yes
64.55,968.25,month-to-month,1,yes,no
21.18,360.06,month-to-month,24,yes,no
67.57,878.41,one year,18,no,no
41.47,704.99,,1,no,no
88.15,,two year,2,yes,no
32.43,1945.8,month-to-month,21,,no
43.2,2246.4,month-to-month,72,,no
,256.34,month-to-month,12,yes,yes
112.23,2917.98,two year,59,yes,yes
57.23,3147.65,month-to-month,49,yes,yes
48.1,3270.8,one year,16,,no
71.67,4371.87,one year,50,yes,no
50.48,3331.68,two year,64,yes,no
48.25,1978.25,two year,23,no,yes
87.25,1483.25,,58,yes,no
43.74,2755.62,one year,9,,no
26.84,241.56,,21,no,yes
118.47,6160.44,one year,64,yes,no
40.73,325.84,two year,20,no,no
111.33,2783.25,one year,72,no,yes
113.29,5891.08,one year,26,no,no
114.5,2977,one year,72,yes,no
99.53,2388.72,month-to-month,51,no,yes
101.6,2133.6,one year,19,no,no
77.88,1090.32,one year,37,yes,no
115.28,5072.32,,32,no,yes
101.72,6713.52,one year,49,yes,no
88.01,3696.42,month-to-month,3,no,yes
91.81,2846.11,two year,63,no,no
103.66,5804.96,two year,65,no,no
96.08,1729.44,month-to-month,35,no,no
82.33,576.31,,2,yes,no
76.02,1444.38,month-to-month,6,yes,no
118.12,1771.8,one year,34,no,yes
116.45,3377.05,month-to-month,63,yes,yes
,5866.02,two year,22,no,no
86.91,956.01,one year,21,no,no
73.71,442.26,month-to-month,9,yes,no
40.59,324.72,month-to-month,30,yes,yes
62.07,3724.2,two year,3,yes,no
109.41,2516.43,,55,no,no
115.79,115.79,one year,56,,no
91.36,5024.8,one year,37,no,no
95.06,3802.4,month-to-month,70,no,no
71.13,2916.33,one year,24,no,no
23.07,784.38,,66,no,no
117.59,,one year,57,yes,no
,3521.04,one year,60,yes,no
97.49,6824.3,month-to-month,64,no,yes
23.38,1145.62,month-to-month,8,yes,yes
97.49,3217.17,month-to-month,70,no,no
67.32,2894.76,,61,no,no
62.14,248.56,two year,53,yes,yes
84.49,760.41,one year,27,yes,no
91.9,6249.2,month-to-month,40,yes,yes
104.25,7297.5,one year,46,no,yes
84.87,1782.27,month-to-month,45,no,yes
75.4,1432.6,one year,14,yes,no
96.85,6779.5,month-to-month,58,yes,no
100.31,5717.67,one year,47,yes,no
72.74,727.4,one year,31,,no
28.61,257.49,two year,53,no,yes
31.25,2156.25,month-to-month,68,yes,no
31.2,,month-to-month,4,no,no
,2100.86,one year,9,yes,no
89.29,5535.98,two year,50,yes,no
28.98,1796.76,month-to-month,70,no,no
39.27,1767.15,two year,7,yes,no
68.53,2604.14,month-to-month,59,yes,no
107.86,6363.74,two year,69,,yes
94.57,1418.55,month-to-month,60,no,no
29.3,1845.9,,57,,yes
34.33,2025.47,month-to-month,9,,no
75.68,3632.64,one year,62,yes,no
108.19,4111.22,month-to-month,60,no,yes
40.23,120.69,month-to-month,3,yes,no
44.25,3097.5,month-to-month,69,no,no
42.18,2994.78,one year,69,no,no
67.7,4197.4,one year,3,yes,no
90.62,2265.5,one year,26,yes,yes
37.92,1061.76,one year,46,yes,no
96.72,967.2,two year,7,no,no
71.17,4412.54,one year,6,no,no
79.61,238.83,one year,6,no,no
65.04,260.16,month-to-month,67,no,no
79.51,4850.11,two year,57,yes,yes
74.13,3928.89,two year,18,,no
73.3,,,51,no,no
118.36,6983.24,two year,43,yes,no
25.71,899.85,two year,58,no,no
56.51,1412.75,month-to-month,63,yes,yes
,1087.9,one year,71,yes,no
63.95,1023.2,one year,26,no,no
47.43,2608.65,month-to-month,16,yes,no
21.91,306.74,,66,no,no
62.18,,month-to-month,40,yes,no
21.82,894.62,one year,4,no,no
28.7,1808.1,month-to-month,3,yes,no
59.72,3822.08,one year,11,,no
71.22,1994.16,two year,54,yes,yes
105.45,4956.15,two year,66,no,no
47.19,990.99,,16,no,no
95.3,4860.3,one year,11,yes,no
56.35,3719.1,two year,43,yes,no
36.47,401.17,month-to-month,28,yes,yes
24.87,1716.03,month-to-month,69,,no
86.31,345.24,,58,no,no
25.12,1582.56,month-to-month,72,yes,yes
75.82,1668.04,month-to-month,16,no,no
98.15,3140.8,month-to-month,20,no,no
97.95,5779.05,one year,71,,no
118.65,237.3,one year,54,no,no
81.34,5124.42,one year,40,no,no
29.07,959.31,one year,59,no,yes
47.41,94.82,month-to-month,43,yes,no
78.38,1567.6,,35,no,no
69.25,484.75,two year,8,,no
64.15,3335.8,two year,25,yes,yes
109.57,5478.5,two year,10,no,yes
36.65,1649.25,two year,2,no,no
45.63,410.67,month-to-month,15,no,no
43.82,1708.98,month-to-month,7,yes,no
36.7,2018.5,month-to-month,56,,yes
95.09,3613.42,month-to-month,60,no,yes
83.67,5940.57,one year,53,no,no
68.96,2551.52,,36,yes,no
34.72,1840.16,one year,35,yes,no
64.13,513.04,month-to-month,51,yes,no
86.1,5079.9,one year,24,yes,no
67.43,2090.33,two year,24,no,yes
44.6,1382.6,one year,45,no,no
20.9,1274.9,two year,53,no,no
31.35,1504.8,one year,55,no,no
83.38,4502.52,month-to-month,7,yes,no
112.07,6275.92,month-to-month,17,yes,no
95.43,4485.21,two year,25,,yes
84.39,2700.48,month-to-month,42,yes,no
113.65,1022.85,two year,70,yes,no
23,460,two year,9,yes,no
111.32,1558.48,two year,6,yes,no
50.33,3472.77,two year,22,no,no
49.72,2386.56,one year,24,yes,no
93.13,,one year,25,no,no
68.96,,two year,31,yes,yes
74.06,3628.94,month-to-month,5,yes,no
37.17,37.17,month-to-month,22,yes,no
58.62,586.2,one year,69,no,no
65.8,1579.2,,58,,no
49.03,2549.56,two year,64,yes,no
52.87,3595.16,one year,28,no,no
83.94,2602.14,two year,50,no,no
28.02,392.28,month-to-month,71,yes,no
99.25,3374.5,month-to-month,43,yes,yes
91.41,731.28,one year,5,no,yes
112.07,4819.01,one year,4,yes,no
24.03,1009.26,month-to-month,60,yes,no
51.39,2877.84,,1,no,no
77.24,5175.08,one year,3,yes,no
48.06,865.08,one year,17,yes,no
110.19,771.33,one year,6,,no
92.84,4456.32,two year,70,yes,no
87.34,6201.14,one year,50,no,no
21.9,438,month-to-month,28,yes,no
70.59,2258.88,one year,6,no,no
101.27,3949.53,one year,4,no,no
38.12,2706.52,two year,64,no,no
113.81,5462.88,one year,1,yes,yes
73.24,1245.08,month-to-month,64,yes,no
45.34,2539.04,two year,16,,yes
26.23,655.75,two year,28,no,no
73.83,2141.07,one year,26,no,yes
58,290,month-to-month,23,yes,no
100.49,,two year,37,yes,yes
65.15,4625.65,one year,23,yes,no
84.17,1262.55,two year,22,,yes
93.74,1593.58,one year,21,yes,no
61.58,2709.52,,42,yes,no
116.79,3854.07,month-to-month,26,no,yes
84.83,4411.16,one year,46,,no
117.75,2708.25,month-to-month,58,no,no
36.86,2543.34,one year,17,no,no
89.74,2692.2,one year,59,,no
,2688.37,two year,70,no,no
60.64,2971.36,month-to-month,27,no,no
64.04,3586.24,one year,1,yes,no
114.63,343.89,one year,63,yes,no
89.48,4652.96,two year,58,yes,yes
22.1,994.5,month-to-month,40,yes,yes
98.37,1475.55,one year,48,no,no
,3433.32,one year,18,no,no
102.96,1338.48,two year,27,yes,no
119.18,1906.88,two year,39,no,no
105.32,1474.48,two year,27,yes,yes
66.07,3699.92,month-to-month,51,no,no
102.87,3188.97,one year,69,no,yes
74.29,594.32,month-to-month,6,yes,yes
37.65,338.85,month-to-month,30,yes,no
38.79,2327.4,two year,1,yes,no
28.14,1800.96,month-to-month,58,no,no
45.45,3181.5,month-to-month,30,no,no
100.31,3310.23,one year,47,no,no
100.26,4010.4,one year,24,yes,no
53,2703,month-to-month,14,no,yes
70.58,2399.72,month-to-month,72,no,no
49,1078,two year,53,no,no
28.48,1651.84,month-to-month,48,yes,no
101.66,,month-to-month,5,yes,yes
103.75,6743.75,one year,62,no,no
110.93,887.44,one year,25,yes,no
70.55,4797.4,two year,60,yes,no
81.71,4494.05,month-to-month,6,no,yes
28.92,780.84,two year,68,no,no
118.37,2959.25,one year,28,no,no
116.31,7560.15,,68,no,no
44.87,2467.85,two year,25,,yes
79.28,1902.72,two year,40,no,no
76.9,4690.9,month-to-month,31,no,yes
78.16,1094.24,one year,51,no,no
31.61,2086.26,month-to-month,52,no,yes
52.01,1352.26,one year,27,,no
80.3,3452.9,one year,66,,yes
75.37,376.85,two year,28,yes,yes
90.65,997.15,month-to-month,64,yes,no
74.23,3785.73,one year,29,yes,yes
20.01,560.28,two year,28,no,no
,5497.8,two year,42,yes,no
105.97,5722.38,month-to-month,34,yes,no
61.36,4233.84,two year,6,no,no
95.33,4957.16,one year,22,yes,yes
35.12,1826.24,month-to-month,38,yes,no
96.23,769.84,month-to-month,19,yes,no
118.05,3069.3,month-to-month,30,no,no
31.51,1512.48,one year,22,yes,no
74.57,4548.77,two year,11,yes,no
33.82,1149.88,month-to-month,17,yes,no
101.25,5973.75,one year,43,yes,no
65.93,3560.22,month-to-month,48,no,no
76.31,3815.5,,68,yes,no
61.11,122.22,month-to-month,1,no,no
118.4,1420.8,two year,59,yes,no
80.57,3142.23,month-to-month,47,no,no
103.9,2493.6,one year,63,no,no
118.91,4399.67,month-to-month,46,no,no
58.61,3926.87,one year,35,yes,yes
70.24,4776.32,month-to-month,56,no,no
67.17,201.51,month-to-month,10,yes,no
97.54,1365.56,two year,61,no,no
98.15,5300.1,two year,18,yes,no
80.32,642.56,one year,62,no,no
69.25,4639.75,two year,57,yes,no
68.31,819.72,two year,26,no,no
58.81,3175.74,month-to-month,41,,no
60.74,728.88,one year,19,,yes
75.59,2721.24,month-to-month,5,yes,no
118.67,2254.73,month-to-month,37,no,no
46.23,184.92,month-to-month,55,yes,yes
66.47,3456.44,one year,6,no,no
44.64,1339.2,one year,8,yes,yes
63.91,511.28,month-to-month,67,no,yes
,2746,month-to-month,41,no,yes
71.49,2502.15,,29,no,no
61.62,369.72,month-to-month,71,yes,no
115.01,,month-to-month,10,,no
53.09,371.63,month-to-month,46,no,yes
30.65,919.5,,35,no,yes
36.22,253.54,month-to-month,72,no,yes
63.54,1461.42,two year,34,no,yes
21.16,1163.8,two year,56,yes,yes
25.59,972.42,month-to-month,4,no,yes
25.45,916.2,month-to-month,31,no,no
108.98,6102.88,two year,51,no,no
92.49,1479.84,month-to-month,49,yes,no
57.37,2180.06,month-to-month,62,yes,no
30.57,30.57,,24,yes,yes
99.83,6888.27,month-to-month,9,yes,yes
106.71,,two year,58,no,no
29.69,1246.98,month-to-month,23,yes,no
72.13,2813.07,month-to-month,67,yes,no
70.13,3787.02,month-to-month,31,no,no
100.35,200.7,month-to-month,61,,yes
106.14,4033.32,two year,41,no,no
104.61,1359.93,one year,39,no,yes
58.2,2153.4,two year,11,yes,no
109.05,5670.6,two year,68,yes,yes
105.7,634.2,one year,36,no,no
47.16,424.44,,7,no,yes
106.1,1909.8,one year,39,no,yes
26.25,1627.5,month-to-month,17,yes,no
74.35,1189.6,month-to-month,37,no,no
56.87,1137.4,month-to-month,14,yes,no
64.89,194.67,one year,63,yes,no
68.13,1226.34,one year,12,,yes
,2790.15,month-to-month,20,no,no
,4470.48,two year,29,yes,yes
66.9,2140.8,one year,63,yes,no
87.73,,two year,18,,no
78.66,,one year,20,no,no
77.13,308.52,two year,44,no,yes
84.21,3452.61,two year,24,no,yes
102.58,512.9,one year,18,no,yes
90.15,3155.25,month-to-month,59,yes,yes
105.27,631.62,one year,4,no,yes
59.31,652.41,one year,25,,yes
73.55,588.4,month-to-month,5,no,yes
103.42,4964.16,two year,39,yes,yes
43.91,2854.15,month-to-month,18,yes,no
113.44,340.32,two year,37,no,yes
105.79,3808.44,two year,15,no,no
30.62,2020.92,month-to-month,41,no,no
54.06,3622.02,one year,71,yes,no
31.12,715.76,month-to-month,64,no,yes
38.18,1985.36,month-to-month,63,no,yes
49.81,2689.74,month-to-month,28,yes,no
35.64,392.04,one year,41,yes,no
68.79,206.37,one year,24,no,no
93.15,2980.8,one year,56,yes,yes
81.71,2451.3,two year,34,yes,no
41.13,2755.71,one year,27,yes,yes
81.56,2202.12,one year,22,yes,no
90.94,4637.94,,50,yes,yes
31.61,2086.26,one year,59,yes,yes
39.52,2608.32,month-to-month,69,no,no
20.52,718.2,two year,12,yes,yes
70.6,2259.2,two year,65,yes,no
61.39,1964.48,month-to-month,2,yes,no
111.43,780.01,,14,no,yes
38.61,2664.09,,5,yes,yes
68.94,1723.5,two year,24,yes,no
77.98,4756.78,month-to-month,68,no,yes
46,3174,two year,36,no,no
87.38,3407.82,month-to-month,49,no,no
36.16,253.12,month-to-month,12,,no
96.47,2701.16,one year,14,yes,no
103.93,831.44,two year,23,no,no
33.55,637.45,month-to-month,44,no,no
113.87,5465.76,one year,34,yes,no
92.33,1107.96,two year,70,yes,no
75,3300,month-to-month,67,no,yes
96.19,3270.46,one year,8,no,yes
100.74,,two year,22,no,no
85.88,4723.4,one year,29,,no
114.88,1263.68,two year,33,,no
,6860.67,one year,13,yes,yes
23.44,1289.2,month-to-month,3,,no
61.05,3113.55,one year,32,yes,no
36.34,2507.46,month-to-month,61,yes,no
63.3,4304.4,two year,66,yes,no
96.51,2219.73,two year,35,no,no
85.68,2484.72,two year,2,no,yes
96.58,5987.96,one year,33,yes,no
35.29,35.29,month-to-month,67,yes,no
54.21,162.63,one year,54,no,no
95.63,5450.91,month-to-month,42,no,yes
48.06,1057.32,one year,12,no,no
71.52,572.16,one year,40,no,no
44.16,2208,month-to-month,5,,no
74.35,2230.5,one year,53,yes,yes
102.18,6948.24,one year,51,,no
29.48,1945.68,month-to-month,58,yes,no
59.65,357.9,month-to-month,49,yes,yes
111.43,780.01,two year,54,yes,no
78.28,1957,month-to-month,40,no,no
63.9,1789.2,two year,2,no,no
89.29,357.16,month-to-month,10,,no
68.64,2745.6,one year,4,yes,no
52.44,3408.6,,39,yes,no
71.75,4520.25,month-to-month,28,no,no
73.9,1108.5,month-to-month,6,yes,no
77.83,5136.78,one year,63,no,no
106.22,4779.9,one year,1,no,yes
51.9,830.4,one year,57,no,no
31.04,1614.08,two year,21,no,no
,2451.6,one year,22,yes,no
68.93,344.65,month-to-month,8,,no
101.8,814.4,two year,69,yes,yes
26.8,804,month-to-month,17,no,yes
77.85,4048.2,two year,10,yes,no
28.67,1691.53,month-to-month,62,no,no
58.92,1296.24,two year,30,,no
78.22,1486.18,two year,33,no,yes
37.98,2316.78,month-to-month,8,yes,no
72.87,582.96,month-to-month,13,yes,no
40.05,841.05,two year,27,no,no
107.92,3453.44,two year,70,yes,no
61.58,4187.44,one year,22,no,no
90.64,634.48,month-to-month,7,yes,no
62.82,3141,two year,24,yes,yes
91.95,3126.3,month-to-month,25,yes,yes
70.15,4629.9,month-to-month,16,no,no
96.55,1834.45,one year,36,yes,no
99.4,2982,month-to-month,34,no,yes
33.26,166.3,month-to-month,51,no,yes
80.85,2506.35,two year,3,yes,no
86.17,1292.55,month-to-month,35,,no
109.38,6672.18,two year,5,yes,no
44.2,2298.4,one year,12,no,no
107.59,3442.88,two year,44,yes,yes
105.83,5185.67,two year,6,yes,no
94.9,949,two year,65,no,no
101.69,2033.8,one year,67,,yes
48.43,339.01,month-to-month,46,yes,no
64.22,3788.98,one year,68,no,no
95.82,6419.94,one year,33,yes,no
63.18,1769.04,month-to-month,25,yes,no
96.44,6172.16,one year,27,no,no
115.8,,two year,3,no,no
70.56,4727.52,month-to-month,20,yes,yes
100.14,1502.1,one year,26,,no
108.75,5872.5,one year,51,yes,no
44.58,1248.24,month-to-month,51,yes,no
51.65,723.1,one year,65,no,no
55.54,2665.92,two year,58,no,no
119.65,6102.15,two year,32,no,no
52.3,2615,one year,62,yes,no
45.71,2331.21,month-to-month,61,no,yes
116.47,6755.26,two year,4,yes,no
,1741.92,two year,59,yes,no
115.83,6254.82,month-to-month,17,yes,yes
100.01,400.04,month-to-month,19,yes,yes
31.06,528.02,one year,7,no,no
69.51,3962.07,month-to-month,11,no,no
89.72,2422.44,one year,2,no,no
100.51,100.51,two year,7,yes,no
59.61,476.88,month-to-month,52,no,no
69.38,485.66,month-to-month,3,no,yes
82.62,4048.38,month-to-month,39,yes,no
25.51,612.24,two year,35,yes,no
96.94,3974.54,month-to-month,31,yes,no
39.93,678.81,one year,67,yes,yes
113.28,7023.36,,72,,no
56.74,510.66,two year,21,no,yes
111.26,3004.02,month-to-month,64,no,no
33.35,1600.8,month-to-month,18,,no
85.95,4641.3,month-to-month,70,no,yes
101.91,3057.3,one year,35,no,yes
65.83,131.66,month-to-month,50,no,no
114.87,5169.15,month-to-month,26,yes,no
108.46,4772.24,one year,23,no,no
76.7,230.1,month-to-month,15,no,no
61.76,3952.64,one year,17,yes,no
36.97,1774.56,month-to-month,48,yes,no
23.76,118.8,one year,11,,no
110.61,3981.96,,38,yes,no
105.67,2430.41,one year,4,no,no
42.01,798.19,month-to-month,24,,yes
89.86,6290.2,two year,32,no,yes
84.47,5490.55,month-to-month,41,no,yes
54.58,654.96,,34,no,no
61.41,3070.5,,37,yes,yes
98.49,6204.87,month-to-month,10,no,no
30.69,583.11,two year,7,,yes
50.77,1624.64,one year,27,no,yes
115.46,1500.98,one year,3,yes,no
43.5,1087.5,one year,27,no,yes
116.28,3604.68,two year,22,no,no
82.01,2050.25,month-to-month,34,yes,no
28.53,884.43,month-to-month,56,no,yes
118.57,6521.35,two year,43,yes,no
64.98,2404.26,month-to-month,42,no,yes
118.93,5232.92,one year,64,yes,no
83.74,753.66,two year,56,yes,no
23.98,647.46,month-to-month,58,no,no
105.84,3492.72,month-to-month,36,yes,no
52.95,2541.6,month-to-month,44,,no
48.89,195.56,month-to-month,56,yes,no
81.45,2362.05,month-to-month,9,yes,no
32.34,1358.28,two year,46,yes,no
35.34,2049.72,,57,,no
44.47,800.46,month-to-month,41,yes,no
47.58,237.9,one year,41,no,yes
56.05,2129.9,two year,29,yes,no
33.1,2250.8,month-to-month,3,yes,no
29.33,381.29,two year,35,no,no
108.6,7276.2,month-to-month,11,,no
98.01,3724.38,month-to-month,50,yes,no
68.95,551.6,two year,19,no,no
110.44,4528.04,month-to-month,35,no,no
58.93,2651.85,month-to-month,20,no,yes
61.26,4165.68,month-to-month,32,no,yes
93.02,5581.2,two year,50,yes,yes
48.59,485.9,two year,67,no,yes
86.35,2245.1,month-to-month,35,yes,no
41.12,2590.56,month-to-month,59,no,no
48.26,1109.98,two year,21,,no
,1153.2,one year,42,no,no
101.28,4760.16,month-to-month,51,no,yes
21.14,1162.7,month-to-month,2,yes,yes
28.84,317.24,two year,10,yes,no
58.97,3361.29,two year,7,no,no
44.19,1237.32,month-to-month,71,no,no
36.71,1174.72,month-to-month,54,no,no
96.84,2614.68,one year,67,yes,yes
115.76,4283.12,two year,37,,no
86.96,3391.44,month-to-month,13,,no
115.99,6843.41,month-to-month,45,no,yes
99.14,4461.3,one year,72,yes,yes
48.13,2310.24,one year,36,no,no
104.74,3456.42,one year,46,yes,yes
59.39,890.85,two year,36,yes,yes
47.36,331.52,month-to-month,2,yes,yes
70.31,4218.6,month-to-month,24,yes,yes
95.65,6695.5,month-to-month,34,no,no
116.64,116.64,two year,2,yes,yes
,6067.1,month-to-month,31,,no
44.7,1028.1,month-to-month,19,no,no
33.82,1285.16,two year,67,yes,no
60.15,,two year,54,no,no
91.32,547.92,month-to-month,25,no,no
65.94,461.58,month-to-month,41,yes,no
37.57,1314.95,one year,49,yes,no
75.09,3979.77,month-to-month,29,no,no
21.16,42.32,one year,46,yes,no
69.59,487.13,two year,71,no,yes
40.54,1986.46,one year,6,yes,yes
58.34,350.04,one year,57,yes,yes
36.47,1276.45,month-to-month,44,,yes
